,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
501,2012,5204,13696,6040,2686,-361,1543,0.7196505013488358,-0.6940719055726041,-0.5910064175263907
502,2015,5184,13688,5232,2593,-1011,1614,1.559101071023096,-1.0112206438500642,-2.7446421842840247
503,2018,6324,13216,3636,2520,-926,1490,0.5275045672899656,-0.8857431722162993,-0.12350171354734595
504,2022,2404,13516,6772,2724,-505,1842,1.8347180413101902,-0.661617292484104,-1.9354104637913812
505,2025,5672,13392,3072,2125,-1233,1372,-0.2151293119126947,-0.729931347517767,0.05861695977067616
506,2028,2752,13600,6780,2222,-488,1526,1.8764012533113912,-0.13498662647340331,-1.1670158842961813
507,2032,5728,12908,1028,1358,-1671,1004,-1.0524240951220807,-0.5158006624540799,0.8260589556498266
508,2035,2176,13264,6600,1840,-375,1483,1.6208193294446418,0.6934809994451668,0.17793755615692605
509,2038,7136,13208,1308,985,-1671,795,-2.128935498639296,-0.9636830229411011,1.626872244245807
510,2042,5544,13512,4332,960,-600,775,0.18037984037074525,0.4569140670437879,2.0602980821992283
511,2046,5724,12880,1428,725,-1776,754,1.2724126727797331,-0.839476559145642,-0.08026626300522524
512,2049,7660,13060,3116,-95,-830,-124,-1.6718584456183723,-0.23597072812570252,-2.9132742956933075
513,2053,1948,13708,8376,762,-577,558,0.4664435945002634,1.1866384119019955,3.075367466810197
514,2062,4044,13144,6160,-100,-746,-22,0.9402723213513136,-0.4397026931679953,1.6470681376121405
515,2065,4088,13336,5840,-12,-879,59,-0.8243362897782485,-0.38713460149589796,-0.8278999854387302
516,2068,4488,13344,5612,92,-927,99,0.30104265402283054,0.8253647015786317,-2.8055308361298716
517,2071,4560,13408,5468,131,-936,139,1.057793613488891,-0.6612704240599357,1.7649151144621587
518,2074,4856,13384,5532,199,-948,119,-0.8497485832266265,-0.35407567483495106,-1.132860299889427
519,2078,5508,13464,5432,256,-829,76,0.3539132566764393,0.5510345062372086,-2.9264394501967756
520,2081,5772,13420,5396,296,-517,-14,1.3550566530449089,-0.6394040609504191,2.491033381485594
521,2084,5524,13436,5436,335,-318,-73,-2.5096882597348134,-1.0874742704924372,-2.293467161379777
522,2088,5560,13528,5052,355,-83,-141,-1.6143745025716036,-0.6389875171171664,-2.7046619304624206
523,2092,5460,13480,4700,341,106,-213,-1.2139487966558975,-1.1145554238338402,2.627548768633799
524,2095,5116,13580,4416,264,223,-257,2.918567004752273,-0.9573663499437391,-0.4806825333064539
525,2098,5076,13604,4324,201,302,-258,-3.119731997879286,0.034777197856228556,-1.4215714111935782
526,2101,5132,13560,4216,60,377,-256,-2.4464237752177915,0.4605047127849264,-2.878153940063936
527,2105,5052,13624,4052,-77,441,-270,-2.2772711480102545,0.0023906097067233857,1.8375824839429518
528,2108,5008,13572,4096,-177,505,-296,-2.9441688027185213,-0.002219111465022154,0.1883095590788907
529,2117,4592,13672,4324,-443,558,-276,2.7600561437343036,0.9721368867017395,-1.233164705986803
530,2120,4532,13604,4312,-509,421,-235,-1.7380190897620622,0.9843894079497184,1.7314410511584848
531,2123,4360,13424,4496,-604,316,-227,-2.5347572736752433,0.5787572272192683,0.5043788033871687
532,2127,4224,13608,4828,-614,233,-147,2.5648863842619085,0.9488221981490138,-0.28739424822230475
533,2131,4404,13512,4936,-624,111,-117,0.17855005032000498,1.1714486888913587,0.405913630302182
534,2134,4664,13468,5256,-595,80,-56,-1.6376467680915903,0.9327825964053016,0.5194325071655718
535,2138,4676,13356,5348,-567,-45,-83,3.0629312145413548,1.1742615818397195,0.41374163889530335
536,2141,4844,13400,5404,-500,-63,-78,0.9178593453141243,1.0993094593508432,1.063188597753292
537,2144,4848,13392,5472,-471,-129,-118,-0.2748914043736405,0.6642130654000281,0.6859359295717312
538,2147,4956,13432,5464,-393,-143,-136,-1.11631983480295,0.6278369065752732,-0.06384067246105136
539,2151,5124,13436,5440,-327,-20,-174,-1.8260640758027478,0.6369296182763231,-0.7686142366367057
