,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3940,1488,316,12648,7528,-486,838,-65,0.6762859460760122,-0.718475098471689,-1.605164531123698
3941,1491,524,12608,7712,-448,883,-127,0.15988992283254214,0.03937746953931968,0.2908773019324514
3942,1495,688,12568,7492,-421,1034,-217,-0.14792902935880106,-0.6667916803857897,2.413465907364519
3943,1498,420,12572,7636,-375,1130,-295,0.7685744677239116,-0.23192503029425407,-1.1813065744268383
3944,1501,-28,12640,7488,-355,1098,-334,-0.04425113149216376,0.015697692896553327,0.9814868237402224
3945,1510,-164,12596,7384,-346,747,-335,0.2563469105612814,-1.0018959481905312,3.059601657150064
3946,1513,-300,12564,7420,-351,615,-322,1.0586176091017288,-0.30370483165979006,-0.8619514351883121
3947,1517,-304,12528,7432,-319,495,-318,0.3160056159820908,-0.07557915514769206,0.7101108815658024
3948,1520,-340,12616,7632,-304,348,-311,-0.010811564703253757,-0.9334711718858462,1.9738513009450045
3949,1523,-536,12640,7344,-291,194,-263,1.81834739580858,-1.1857979147494808,-1.4103269634091886
3950,1527,-756,12612,7388,-282,40,-257,1.9687962307134554,-0.7045221504696187,-0.07718544906649046
3951,1531,-836,12672,7296,-265,-87,-210,1.7539785838791542,-0.7908391515575394,0.9668498304527381
3952,1534,-700,12704,7320,-295,-168,-112,1.4774379658865002,-1.3726480506816914,1.7945991529926835
3953,1537,-716,12608,7132,-348,-236,-68,-2.301445880853632,-0.9910893138741353,-0.8243981759507036
3954,1541,-656,12684,7084,-370,-283,11,-2.8242005255666114,-0.5054340208927546,0.17563161603580899
3955,1544,-588,12660,7224,-376,-316,70,2.8951676349620095,-0.7026622021785203,1.3246141150264343
3956,1547,-808,12636,7228,-405,-445,90,-2.7747555662519336,-1.0503550218597317,-2.784644112397745
3957,1550,-656,12516,7152,-396,-606,151,-2.4458149652593146,-0.286346367837574,-0.756864607713014
3958,1554,-240,12608,7188,-418,-663,155,2.983476724564304,-0.20169587861607838,0.9077294611209877
3959,1584,52,12560,7456,-190,-279,-34,2.6036621693127837,-0.4382972026837044,1.8883280396644295
3960,1587,132,12536,7416,-203,-242,-95,2.434751305589452,-0.6857581658292514,2.9115117369775994
3961,1590,116,12648,7356,-174,-135,-113,2.345667631153726,-0.7238514026910434,-2.533825382097217
3962,1593,-216,12540,7320,-190,-116,-127,2.2129783821341027,-0.7431503207865896,-1.6981026754741713
3963,1597,-644,12500,7100,-205,-177,-53,2.234828273870934,-1.1618962823811068,-0.7740082361509756
3964,1600,-620,12644,7112,-212,-184,-12,-2.512905291826175,-1.2842718206400137,1.5939821686584978
3965,1603,-500,12620,7216,-249,-198,27,-2.323925383761689,-0.8348259028571813,2.7955060823118516
3966,1607,-404,12564,7064,-279,-171,80,-2.690937160865284,-0.7047192964278111,-2.6106417249637808
3967,1610,-604,12676,7168,-282,-244,111,-2.8473745166681828,-0.7575616980296568,-1.4252720391814684
3968,1614,-588,12636,7368,-347,-291,155,-2.743619284771177,-0.947025366941594,0.14814725867491207
3969,1617,-432,12712,7256,-352,-364,184,-2.3564964408554876,-0.7159266065910005,2.0350254566821433
3970,1621,-296,12672,7492,-331,-414,199,-2.596980979553759,-0.3595110616564746,-2.736516856233798
3971,1624,-96,12576,7272,-330,-356,176,-3.0797413021893525,-0.5703343151111693,-1.441486467971921
3972,1627,104,12584,7436,-327,-167,185,2.583326056050083,-1.288095263624846,-0.8392790692335187
3973,1631,-160,12616,7276,-350,-39,177,-0.28230834936031796,-1.1130043673074737,-2.5667605356075973
3974,1638,-372,12532,7196,-399,-72,214,-1.2874634375150067,-0.5011248766297834,-2.1413028200525726
3975,1641,-308,12596,7132,-441,-53,186,-2.4002461995083815,-0.49959745821749024,-1.5073641814845558
3976,1644,-288,12524,7124,-440,-23,213,2.5919666552191236,-1.102621986702556,-1.3334554457845693
3977,1647,-80,12536,7088,-472,127,237,0.3257197109828533,-0.6366077557697162,-2.289115919071387
3978,1651,-360,12568,7224,-508,18,251,-1.1307351664302148,-0.03418154084374706,-1.9686895547341816
3979,1655,-268,12700,7300,-508,-14,266,-2.608212970891858,-0.21469043449885208,-1.279616383997927
3980,1658,120,12640,7420,-501,43,249,1.9264598182561352,-0.8129924564543471,-1.6572676646238071
3981,1661,408,12572,7496,-467,183,167,0.33338355044188533,-0.152383909161842,-1.880390560761806
3982,1664,336,12572,7600,-450,282,119,-1.0007031685110612,-0.095744800336562,-1.0295266754246721
3983,1668,324,12484,7632,-376,409,82,-1.9919898348505887,-1.2360723292788307,-0.654119501145799
3984,1671,240,12532,7664,-320,502,26,1.24618394608521,-0.36994336212538426,-2.788125111285759
