,accX,accY,accZ,gyrX,gyrY,gyrZ,q1,q2,q3,q4
40,-2321.4949494949424,13111.595959595954,7074.626262626272,1184.737373737377,790.4545454545519,-319.0,-0.6495004465026525,-0.26165719477414,0.3749323441047436,-0.6075445825286445
41,-2225.979797979788,13042.707070707069,6773.818181818198,584.3535353535244,567.7676767676767,-80.9292929292933,-0.7743418486002516,-0.2705188203642817,-0.5510945921938735,0.15332651365543648
42,-2385.333333333332,12724.606060606064,7126.666666666672,182.75757575757325,323.9090909090901,-595.3333333333321,0.14734161252596056,-0.7922010818214211,-0.027184916121191956,0.5915816727339545
43,-2518.787878787887,11683.31313131313,7567.030303030304,946.9898989898938,61.86868686868547,-50.01010101010979,0.5135737342610474,-0.3459871413469233,0.6734806962721334,-0.4036813957176495
44,-2091.5555555555584,12310.222222222215,7480.000000000018,1604.222222222218,1376.2222222222165,387.6666666666624,0.3782872107458179,0.5177940224448577,-0.08332280460564864,-0.7627879434935847
45,-3255.9999999998745,13903.999999999902,5554.909090909095,707.181818181791,131.36363636364604,60.54545454546019,-0.002597407036077331,0.7257730931646968,0.6844835887428543,-0.06876690669602949
46,-3179.3131313131307,12792.0,7002.626262626262,-136.10101010101016,419.5555555555561,-239.27272727272748,-0.03941596002373243,0.10455871763745808,0.1657165729698918,-0.9798223686487936
47,-2242.060606060646,12641.050505050494,7391.353535353566,535.373737373731,-527.3939393939552,-38.05050505050099,0.12282589567255237,-0.31360523086076453,-0.5471343944488577,-0.7662959695444599
48,-2537.3333333333503,12972.727272727274,6240.848484848497,212.78787878786625,-124.060606060586,50.030303030308914,-0.2566967597100263,-0.6590244947607033,-0.5409745056748895,0.4551264363554171
49,-3058.909090909121,13806.909090909096,5446.383838383817,820.5151515151465,-1396.5757575757707,81.94949494949788,-0.1844128165472741,0.3623997088013471,0.27037282559509035,0.8726722748738652
50,-3092.363636363605,12997.61616161617,5765.4545454545605,1280.6565656565626,-3059.424242424226,-531.5050505050467,0.5161075541457052,-0.16828421432310023,0.8387987274073793,0.04159459896616431
51,-795.878787878637,12569.9393939394,8301.454545454688,1056.1818181818376,-247.45454545454777,-1510.2424242424397,0.6412876757337491,-0.16483758884274657,-0.2326351674717378,-0.7123619621455878
52,-3155.1919191918896,13253.3737373738,7684.767676767686,911.5757575757644,-792.9494949494374,-853.4444444444639,-0.2948429548863104,-0.30244951817160004,-0.9063002457754854,0.014552849170211766
53,-2674.666666666666,13045.89898989899,4981.737373737375,1327.0909090909097,-2833.1111111111118,-913.3737373737376,-0.8582959201224081,0.13089154314861876,0.17681607919915918,0.46360715219897
54,-2633.0909090909845,12197.090909090924,5543.636363636278,415.27272727273726,-3240.9090909090974,-631.272727272727,0.13314654676131898,0.48640270874785035,0.8635252598845474,-0.0029201968451760324
55,-2660.888888888803,13019.11111111112,7442.666666666733,-67.66666666665787,-1966.8888888888696,-171.22222222222263,0.7833264790522056,0.03160079017931976,-0.07672977140048702,-0.6160467185664948
56,-1660.767676767733,13421.979797979788,7011.83838383836,562.7676767676712,-3571.4747474747564,-54.78787878787261,-0.1254576400790358,-0.4906119147421303,-0.8485913536371109,-0.15314386762517082
57,-3425.696969696979,12757.09090909089,3962.1818181818016,572.121212121212,-4297.33333333334,-581.424242424242,-0.7468574341287809,0.03977779425022418,-0.09527619828278712,0.6569201977500309
58,-629.8585858586957,13458.54545454544,6823.51515151505,737.0303030302639,-3445.6161616161844,-1018.5656565656172,-0.05288374259398752,0.6056572078868172,0.7845575417413654,0.12186927422752318
59,-2099.595959595601,12292.56565656564,7229.696969697165,222.76767676768395,-2856.3030303029745,-421.4545454545778,0.7325116049552377,0.10818920476533903,0.14837657797259815,-0.6555198209720944
60,-1575.3939393939372,12075.515151515148,5956.121212121219,262.15151515151456,-3135.181818181816,-188.1818181818178,0.08441917313988402,-0.552416768140588,-0.7877636821354038,-0.259109047684477
61,-2783.434343434228,13132.80808080815,4472.888888889051,512.5050505050633,-3560.121212121196,-476.7777777777772,-0.798697358337978,-0.3834684042026593,-0.05945310104926597,0.45989111922043807
